model,provider,input_tokens,output_tokens,cost
gpt-4,openai,2500000,450000,95.00
gpt-4-turbo,openai,3200000,680000,87.00
gpt-4o,openai,15000000,3200000,72.50
gpt-4o-mini,openai,45000000,12000000,18.75
gpt-3.5-turbo,openai,8000000,2000000,7.00
claude-3-opus,anthropic,1200000,280000,38.40
claude-3-sonnet,anthropic,8000000,2100000,46.50
claude-3-haiku,anthropic,25000000,8000000,9.38
gemini-1.5-pro,google,5000000,1000000,11.25
gemini-1.5-flash,google,18000000,6000000,3.15
mistral-large,mistral,3000000,600000,12.00
mistral-small,mistral,10000000,3000000,9.60
